VARIABLE: MSC01.ZT8.107:COUNTS
SINGLE COLUMN CONTINUOUS
DataType: NUMERIC
Unit: count
Description: CHARM SEC1 counts per spill

Timestamp (LOCAL_TIME),Value
2015-06-26 08:52:59.500,14266
2015-06-26 08:53:06.700,14341
2015-06-26 08:53:17.500,15631
2015-06-26 08:53:31.900,15627
2015-06-26 08:53:51.100,14665
2015-06-26 08:53:58.300,15575
2015-06-26 08:54:09.100,15374
2015-06-26 08:54:23.500,15409
2015-06-26 08:54:42.700,14070
2015-06-26 08:54:49.900,14665
2015-06-26 08:55:00.700,15146
2015-06-26 08:55:15.100,15388
2015-06-26 08:55:34.300,14922
2015-06-26 08:55:41.500,15002
2015-06-26 08:55:52.300,15441
2015-06-26 08:56:06.700,15796
2015-06-26 08:56:25.900,14314
2015-06-26 08:56:33.100,15216
2015-06-26 08:56:43.900,15407
2015-06-26 08:56:58.300,15293
2015-06-26 08:57:17.500,14631
2015-06-26 08:57:24.700,15072
2015-06-26 08:57:35.500,14864
2015-06-26 08:57:49.900,15373
2015-06-26 08:58:09.100,14499
2015-06-26 08:58:16.300,15245
2015-06-26 08:58:27.100,15331
2015-06-26 08:58:41.500,15082
2015-06-26 08:59:00.700,14714
2015-06-26 08:59:07.900,15430
2015-06-26 08:59:18.700,15191
2015-06-26 08:59:33.100,15587
2015-06-26 08:59:52.300,14585
2015-06-26 08:59:59.500,14707
2015-06-26 09:00:10.300,15166
2015-06-26 09:00:24.700,14586
2015-06-26 09:00:43.900,14877
2015-06-26 09:00:51.100,15184
2015-06-26 09:01:01.900,15659
2015-06-26 09:01:16.300,15652
2015-06-26 09:01:35.500,14711
2015-06-26 09:01:42.700,14765
2015-06-26 09:01:53.500,15049
2015-06-26 09:02:07.900,14755
2015-06-26 09:02:27.100,14684
2015-06-26 09:02:34.300,15399
2015-06-26 09:02:45.100,15422
2015-06-26 09:02:59.500,15060
2015-06-26 09:03:18.700,14308
2015-06-26 09:03:25.900,14502
2015-06-26 09:03:36.700,14874
2015-06-26 09:03:51.100,11566
2015-06-26 09:04:10.300,14541
2015-06-26 09:04:17.500,15451
2015-06-26 09:04:28.300,14767
2015-06-26 09:04:42.700,15582
2015-06-26 09:05:01.900,14252
2015-06-26 09:05:09.100,15101
2015-06-26 09:05:19.900,15204
2015-06-26 09:05:34.300,15498
2015-06-26 09:05:53.500,14218
2015-06-26 09:06:00.700,15718
2015-06-26 09:06:11.500,14863
2015-06-26 09:06:25.900,15049
2015-06-26 09:06:45.100,14139
2015-06-26 09:06:52.300,14526
2015-06-26 09:07:03.100,15597
2015-06-26 09:07:17.500,15206
2015-06-26 09:07:36.700,14343
2015-06-26 09:07:43.900,15104
2015-06-26 09:07:54.700,15008
2015-06-26 09:08:09.100,15935
2015-06-26 09:08:28.300,14257
2015-06-26 09:08:35.500,14739
2015-06-26 09:08:46.300,15331
2015-06-26 09:09:00.700,15193
2015-06-26 09:09:19.900,14121
2015-06-26 09:09:27.100,14922
2015-06-26 09:09:37.900,14884
2015-06-26 09:09:52.300,15501
2015-06-26 09:10:11.500,14148
2015-06-26 09:10:18.700,14831
2015-06-26 09:10:29.500,14523
2015-06-26 09:10:43.900,15192
2015-06-26 09:11:03.100,14287
2015-06-26 09:11:10.300,14876
2015-06-26 09:11:21.100,14702
2015-06-26 09:11:35.500,15295
2015-06-26 09:11:54.700,14092
2015-06-26 09:12:01.900,15373
2015-06-26 09:12:12.700,15659
2015-06-26 09:12:27.100,14902
2015-06-26 09:12:46.300,14895
2015-06-26 09:12:53.500,14938
2015-06-26 09:13:04.300,15003
2015-06-26 09:13:18.700,14821
2015-06-26 09:13:37.900,14297
2015-06-26 09:13:45.100,14676
2015-06-26 09:13:55.900,15232
2015-06-26 09:14:10.300,15104
2015-06-26 09:14:29.500,14605
2015-06-26 09:14:36.700,15443
2015-06-26 09:14:47.500,15375
2015-06-26 09:15:01.900,15826
2015-06-26 09:15:21.100,14259
2015-06-26 09:15:28.300,14851
2015-06-26 09:15:39.100,15544
2015-06-26 09:15:53.500,15425
2015-06-26 09:16:12.700,14179
2015-06-26 09:16:19.900,15376
2015-06-26 09:16:30.700,15442
2015-06-26 09:16:45.100,15027
2015-06-26 09:17:04.300,14245
2015-06-26 09:17:11.500,15032
2015-06-26 09:17:22.300,15204
2015-06-26 09:17:36.700,15038
2015-06-26 09:17:55.900,14348
2015-06-26 09:18:03.100,15358
2015-06-26 09:18:13.900,15487
2015-06-26 09:18:28.300,15261
2015-06-26 09:18:47.500,14247
2015-06-26 09:18:54.700,14566
2015-06-26 09:19:05.500,15608
2015-06-26 09:19:19.900,14832
2015-06-26 09:19:39.100,14455
2015-06-26 09:19:46.300,15326
2015-06-26 09:19:57.100,15176
2015-06-26 09:20:11.500,15426
2015-06-26 09:20:30.700,14689
2015-06-26 09:20:37.900,15497
2015-06-26 09:20:48.700,15190
2015-06-26 09:21:03.100,15124
2015-06-26 09:21:22.300,14295
2015-06-26 09:21:29.500,14853
2015-06-26 09:21:40.300,15099
2015-06-26 09:21:54.700,14777
2015-06-26 09:22:13.900,14228
2015-06-26 09:22:21.100,15354
2015-06-26 09:22:31.900,14912
2015-06-26 09:22:46.300,15218
2015-06-26 09:23:05.500,14274
2015-06-26 09:23:12.700,14933
2015-06-26 09:23:23.500,15005
2015-06-26 09:23:37.900,15258
2015-06-26 09:23:57.100,14475
2015-06-26 09:24:04.300,14882
2015-06-26 09:24:15.100,14929
2015-06-26 09:24:29.500,15060
2015-06-26 09:24:48.700,14844
2015-06-26 09:24:55.900,14773
2015-06-26 09:25:06.700,15010
2015-06-26 09:25:21.100,15081
2015-06-26 09:25:40.300,14388
2015-06-26 09:25:47.500,14879
2015-06-26 09:25:58.300,15044
2015-06-26 09:26:12.700,15138
2015-06-26 09:26:31.900,14350
2015-06-26 09:26:39.100,14846
2015-06-26 09:26:49.900,15398
2015-06-26 09:27:04.300,14965
2015-06-26 09:27:23.500,14258
2015-06-26 09:27:30.700,15137
2015-06-26 09:27:41.500,15870
2015-06-26 09:27:55.900,14957
2015-06-26 09:28:15.100,14383
2015-06-26 09:28:22.300,15382
2015-06-26 09:28:33.100,15385
2015-06-26 09:28:47.500,15345
2015-06-26 09:29:06.700,14611
2015-06-26 09:29:13.900,14705
2015-06-26 09:29:24.700,15640
2015-06-26 09:29:39.100,15016
2015-06-26 09:29:58.300,14192
2015-06-26 09:30:05.500,15261
2015-06-26 09:30:16.300,14827
2015-06-26 09:30:30.700,15333
2015-06-26 09:30:49.900,14634
2015-06-26 09:30:57.100,15071
2015-06-26 09:31:07.900,15631
2015-06-26 09:31:22.300,15051
2015-06-26 09:31:41.500,14243
2015-06-26 09:31:48.700,14926
2015-06-26 09:31:59.500,14737
2015-06-26 09:32:13.900,15276
2015-06-26 09:32:33.100,14252
2015-06-26 09:32:40.300,15149
2015-06-26 09:32:51.100,15114
2015-06-26 09:33:05.500,15017
2015-06-26 09:33:24.700,14056
2015-06-26 09:33:31.900,15213
2015-06-26 09:33:42.700,15122
2015-06-26 09:33:57.100,15500
2015-06-26 09:34:16.300,14058
2015-06-26 09:34:27.100,15501
2015-06-26 09:34:41.500,15327
2015-06-26 09:35:00.700,14736
2015-06-26 09:35:11.500,14903
2015-06-26 09:35:25.900,15007
2015-06-26 09:35:45.100,14623
2015-06-26 09:35:55.900,14879
2015-06-26 09:36:10.300,14950
2015-06-26 09:36:29.500,14868
2015-06-26 09:36:40.300,15310
2015-06-26 09:36:54.700,15345
2015-06-26 09:37:13.900,14630
2015-06-26 09:37:24.700,15327
2015-06-26 09:37:39.100,15646
2015-06-26 09:37:58.300,14871
2015-06-26 09:38:09.100,15343
2015-06-26 09:38:23.500,15504
2015-06-26 09:38:42.700,14332
2015-06-26 09:38:53.500,14970
2015-06-26 09:39:07.900,14927
2015-06-26 09:39:27.100,15334
2015-06-26 09:39:37.900,15660
2015-06-26 09:39:52.300,15131
2015-06-26 09:40:11.500,14358
2015-06-26 09:40:22.300,15163
2015-06-26 09:40:36.700,14908
2015-06-26 09:40:55.900,14929
2015-06-26 09:41:06.700,15147
2015-06-26 09:41:21.100,15569
2015-06-26 09:41:40.300,14629
2015-06-26 09:41:51.100,15781
2015-06-26 09:42:05.500,15743
2015-06-26 09:42:24.700,14985
2015-06-26 09:42:35.500,15289
2015-06-26 09:42:49.900,15370
2015-06-26 09:43:09.100,14579
2015-06-26 09:43:19.900,14759
2015-06-26 09:43:34.300,15507
2015-06-26 09:43:53.500,14684
2015-06-26 09:44:04.300,14869
2015-06-26 09:44:18.700,15288
2015-06-26 09:44:37.900,14734
2015-06-26 09:44:48.700,15558
2015-06-26 09:45:03.100,15834
2015-06-26 09:45:22.300,14883
2015-06-26 09:45:33.100,15534
2015-06-26 09:45:47.500,15709
2015-06-26 09:46:06.700,14808
2015-06-26 09:46:17.500,14889
2015-06-26 09:46:31.900,15300
2015-06-26 09:46:51.100,14457
